reporter,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,,,,,,,,,,,278.9021301269531,,,,228.78802490234375,227.68055725097656,201.0243377685547,,,
AFG,,,,,,,,,,,,,,223.98602294921875,224.68075561523438,227.51023864746094,221.50701904296875,269.5785217285156,266.6678161621094,249.0149688720703
AGO,225.22940063476562,230.95779418945312,223.62078857421875,239.9167022705078,221.2218475341797,200.1944122314453,206.4643096923828,209.9647979736328,210.83103942871094,212.4569854736328,208.7798309326172,194.9205322265625,189.69692993164062,195.5894775390625,208.5959014892578,209.64358520507812,207.4673614501953,187.2775115966797,189.00497436523438,
ALB,,205.20419311523438,216.10980224609375,207.01705932617188,195.07232666015625,204.00204467773438,195.3660888671875,193.2753143310547,192.741943359375,191.1199493408203,229.55389404296875,233.8786163330078,189.66043090820312,224.12164306640625,185.11778259277344,185.8426055908203,178.63623046875,179.4644317626953,175.99697875976562,183.53189086914062
AND,,,,,,187.10487365722656,181.0936279296875,174.8473663330078,176.2630157470703,172.67410278320312,171.60528564453125,170.83090209960938,179.77276611328125,187.51348876953125,191.62879943847656,200.41441345214844,190.74790954589844,192.4474334716797,190.83343505859375,
ANT,,,,,,,,,,,204.1281280517578,188.27163696289062,198.2065887451172,186.67637634277344,,,,,,
ARE,,,,,,,,,,,143.55221557617188,,129.6611785888672,124.03797149658203,,,,102.62898254394531,97.44210052490234,100.89962768554688
ARG,143.3715362548828,142.1607666015625,137.88186645507812,136.76637268066406,141.38914489746094,139.9501495361328,141.6288604736328,145.4092254638672,142.89736938476562,140.2686767578125,137.25973510742188,134.90965270996094,132.51890563964844,130.4701690673828,137.55665588378906,135.10369873046875,129.04644775390625,132.4864044189453,130.37171936035156,135.87123107910156
ARM,,,254.33531188964844,,262.4913330078125,264.6610107421875,261.29351806640625,229.97763061523438,221.89688110351562,216.97035217285156,204.91595458984375,202.46307373046875,207.6717071533203,205.77346801757812,217.2606201171875,218.89971923828125,212.90341186523438,215.40725708007812,215.19114685058594,204.59132385253906
ATG,,,,,315.2599182128906,293.9736022949219,,,,,295.4720764160156,,295.66497802734375,,330.0277099609375,338.55462646484375,331.2698669433594,317.12347412109375,323.7946472167969,377.05657958984375
AUS,122.36341094970703,123.34188079833984,123.27122497558594,121.91152954101562,121.36856079101562,120.54905700683594,118.34725189208984,116.7079086303711,117.78666687011719,119.1248550415039,119.58966064453125,118.34813690185547,116.23223876953125,120.0423583984375,118.56087493896484,118.09323120117188,110.80551147460938,112.75255584716797,112.4156265258789,125.86241912841797
AUT,97.64574432373047,98.2260513305664,95.97358703613281,92.82001495361328,92.94273376464844,92.11817169189453,90.94098663330078,89.73481750488281,87.97480773925781,85.28001403808594,86.0509033203125,84.68794250488281,84.43795776367188,87.00924682617188,95.7467269897461,95.1407470703125,89.09113311767578,90.91926574707031,89.27286529541016,83.6903305053711
AZE,,206.34278869628906,184.03480529785156,225.547119140625,230.45831298828125,197.0806884765625,204.3602752685547,187.19827270507812,181.61119079589844,169.12376403808594,162.2760009765625,161.87680053710938,166.93118286132812,162.64466857910156,171.01939392089844,177.93991088867188,168.14720153808594,168.03724670410156,167.81056213378906,164.53445434570312
BDI,292.00555419921875,356.8173522949219,332.8713684082031,317.6701354980469,310.87786865234375,334.5317687988281,318.4111328125,339.98480224609375,320.09326171875,305.2607421875,275.8390197753906,297.3062744140625,272.9299011230469,295.0838928222656,283.13824462890625,295.8111877441406,304.15997314453125,360.3173522949219,297.6742248535156,293.9451599121094
BEL,,,,,84.81190490722656,83.72420501708984,81.8001937866211,78.19796752929688,77.9267807006836,76.7871322631836,75.91644287109375,76.359375,75.1317138671875,75.166259765625,72.5413589477539,68.95829772949219,55.76117706298828,58.95588302612305,,53.19637680053711
BEN,,,,231.87815856933594,226.15589904785156,227.64088439941406,223.22023010253906,214.63031005859375,212.93881225585938,216.76390075683594,210.350341796875,216.31393432617188,208.12828063964844,207.06756591796875,210.15093994140625,218.62322998046875,207.6987762451172,204.9040985107422,194.26605224609375,206.77279663085938
